,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
341,19892,step3,samsung,Galaxy A50,64,,57,20210405114318
342,19891,step2,samsung,Galaxy A50,Galaxy A50,,91,20210405114318
343,19890,step4,samsung,Galaxy A90 5G,화이트,all,84,20210405114318
344,19888,step4,samsung,Galaxy A90 5G,화이트,128,65,20210405114318
345,19889,step4,samsung,Galaxy A90 5G,블랙,all,131,20210405114318
346,19887,step4,samsung,Galaxy A90 5G,블랙,128,105,20210405114318
347,19885,step2,samsung,Galaxy A90 5G,Galaxy A90 5G,,273,20210405114318
348,19886,step3,samsung,Galaxy A90 5G,128,,197,20210405114318
349,19884,step2_group,samsung,a_series,a_series,,1564,20210405114318
350,3624,step2,lg,LG Folder,LG Folder,,54,20210405114318
351,28497,step4,lg,LG Q52,실키 레드,64,1,20210405114318
352,27556,step2,lg,Gx,Gx,,5,20210405114318
353,28524,step4,samsung,Galaxy J3 2017,골드,all,2,20210405114318
354,27445,step4,samsung,GalaxyFolder2,레드,16,2,20210405114318
355,26448,step2,samsung,Galaxy J6,Galaxy J6,,21,20210405114318
356,23170,step3,samsung,Galaxy A31,64,,144,20210405114318
357,26704,step4,apple,iphone7 Plus,골드,128,4,20210405114318
358,27616,step2,apple,iphone12 Pro,iphone12 Pro,,653,20210405114318
359,26706,step4,apple,iphone7 Plus,골드,all,4,20210405114318
360,24475,step2,samsung,GalaxyS3 3G,GalaxyS3 3G,,33,20210405114318
361,28523,step4,samsung,Galaxy J3 2017,골드,16,2,20210405114318
362,27555,step2,lg,G3 A,G3 A,,2,20210405114318
363,28079,step4,samsung,Galaxy S21,팬텀 화이트,256,12,20210405114318
364,26701,step3,lg,X5 2018,32,,1,20210405114318
365,25230,step4,samsung,Galaxy S20,클라우드 블루,128,16,20210405114318
366,25231,step4,samsung,Galaxy S20,클라우드 블루,all,26,20210405114318
367,26449,step3,samsung,Galaxy J6,32,,12,20210405114318
368,26450,step4,samsung,Galaxy J6,블랙,32,6,20210405114318
369,28522,step3,samsung,Galaxy J3 2017,16,,2,20210405114318
370,26452,step4,samsung,Galaxy J6,블랙,all,7,20210405114318
371,26453,step4,samsung,Galaxy J6,골드,all,1,20210405114318
372,26454,step2,samsung,Galaxy J5,Galaxy J5,,32,20210405114318
373,23260,step2,samsung,GalaxyNote20,GalaxyNote20,,265,20210405114318
374,23261,step3,samsung,GalaxyNote20,256,,167,20210405114318
375,26692,step4,samsung,Galaxy S20 Plus,클라우드 블루,256,17,20210405114318
376,26678,step3,samsung,GalaxyFolder2,16,,21,20210405114318
377,28173,step4,apple,iphoneXr,RED,256,2,20210405114318
378,23665,step4,apple,iphone8 Plus,실버,256,9,20210405114318
379,27305,step3,samsung,GalaxyS3 LTE,32,,2,20210405114318
380,28208,step2,samsung,GalaxyZoom2,GalaxyZoom2,,2,20210405114318
381,27614,step4,apple,iphone12,그린,all,25,20210405114318
382,27615,step4,apple,iphone12,블루,all,67,20210405114318
383,28036,step4,samsung,GalaxyNote7,블랙,64,3,20210405114318
384,28078,step4,samsung,Galaxy S21,팬텀 바이올렛,256,19,20210405114318
385,23169,step2,samsung,Galaxy A31,Galaxy A31,,225,20210405114318
386,25332,step4,samsung,Galaxy A8 Star,화이트,64,5,20210405114318
387,27613,step4,apple,iphone12,레드,all,25,20210405114318
388,24993,step4,samsung,Galaxy S20,코스믹 그레이,all,26,20210405114318
389,28207,step4,lg,Wine Smart Jazz,브라운,all,1,20210405114318
390,28454,step4,apple,iphone11 Pro Max,실버,64,1,20210405114318
391,27169,step3,samsung,GalaxyJean2,32,,11,20210405114318
